2026-01-15	OUTSIDE_REJECTED	unknown:outside	expenses:food	9
2026-01-31	OPEN	equity:opening	assets:cash	1000
2026-02-01	BASE_INCOME	income:salary	assets:cash	100
2026-02-02	BASE_RENT	assets:cash	expenses:rent	100
2026-02-03	BASE_FOOD	assets:cash	expenses:food	50
2026-02-04	BASE_STOPPED	assets:cash	expenses:stopped	40
2026-02-05	BASE_ASSET_TRANSFER	assets:cash	assets:savings	25
2026-02-05	BASE_PRINCIPAL	assets:cash	liabilities:loan	15
2026-02-08	BASE_END_EXCLUDED	assets:cash	expenses:food	999
2026-03-01	CUR_INCOME	income:salary	assets:cash	120
2026-03-03	CUR_RENT	assets:cash	expenses:rent	120
2026-03-04	CUR_FOOD_A	assets:cash	expenses:food	30
2026-03-05	CUR_FOOD_B	assets:cash	expenses:food	40
2026-03-05	CUR_NEW	assets:cash	expenses:new	30
2026-03-05	CUR_DUAL	income:salary	expenses:food	5
2026-03-05	CUR_ASSET_TRANSFER	assets:cash	assets:savings	35
2026-03-05	CUR_PRINCIPAL	assets:cash	liabilities:loan	20
2026-03-07	AFTER_OBSERVATION	assets:cash	expenses:food	11
2026-01-01	ZERO_INCOME_ANCHOR	income:salary	assets:cash	0
